tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
662,Vibrio,"",2,-100,662,,641,Bacteria,0,43706,37271.04697,99.0,98.5245,1153.31,183.1601257,317282131.188,4.37065,1.0637958,99.0,41202,35135.71769,99.0,99.4408,198.56,233.327713,4.12025,0.8852848,99.0
28173,Vibrio nigripulchritudo,"",1,28173,662,,641,Bacteria,0,18662,15914.34308,100.0,96.9012,2442.73,286.4644775,317282131.188,1.86622,0.0,100.0,18920,16134.35704,100.0,99.4689,359.082,252.9245911,1.89202,0.0,100.0
29494,Vibrio furnissii,"",1,29494,662,,641,Bacteria,0,20057,17103.95344,100.0,99.8616,208.323,114.9394836,281961171.95994,2.00572,0.0,100.0,13476,11491.89194,99.0,99.6026,70.4075,186.8703613,1.34761,0.265949,100.0
680,Vibrio campbellii,"",1,680,662,,641,Bacteria,0,1949,1662.04344,100.0,99.8285,133.035,74.2738647,27142303.518,0.1949,0.0,100.0,1266,1079.60338,100.0,99.2185,45.8341,254.7331543,0.1266,0.0,100.0
663,Vibrio alginolyticus,"",1,663,662,,641,Bacteria,0,1672,1425.8269,100.0,98.8349,137.225,76.4055634,24508275.957000002,0.1672,0.0,100.0,1231,1049.75653,100.0,99.8422,39.9862,271.1121826,0.1231,0.0,100.0
676,Vibrio fluvialis,"",1,676,662,,641,Bacteria,0,31,26.43579,11.9252163,99.7097,100.161,55.0110321,19513643.091407325,0.0031,1.0637958,99.0,2331,1987.80054,99.0,99.5567,44.8812,252.7389374,0.2331,0.265949,99.0
670,Vibrio parahaemolyticus,"",1,670,662,,641,Bacteria,0,55,46.9022,100.0,97.1073,107.2,55.2521057,8417068.902,0.0055,0.0,100.0,942,803.30678,100.0,98.4215,37.2219,273.6650085,0.0942,0.0,100.0
666,Vibrio cholerae,"",1,666,662,,641,Bacteria,0,101,86.1295,100.0,98.8603,203.96,102.967186,7868313.189,0.0101,0.0,100.0,831,708.64961,100.0,98.991,37.7593,269.306366,0.0831,0.0,100.0
55601,Vibrio anguillarum,"",1,55601,662,,641,Bacteria,0,425,362.4261,100.0,99.7908,100.729,56.2197838,6517529.865,0.0425,0.0,100.0,347,295.91025,100.0,99.4581,36.1643,294.1300964,0.0347,0.0,100.0
150340,Vibrio antiquarius,"",1,150340,662,,641,Bacteria,0,350,298.46855,100.0,99.9071,100.74,56.4063873,3731539.086,0.035,0.0,100.0,92,78.45459,100.0,99.7663,32.5543,307.6526489,0.0092,0.0,100.0
