tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
1301,Streptococcus,"",2,-100,1301,,1300,Bacteria,0,379487,632478.333,99.0,99.3782,2538.62,241.281311,1587761990.1,66.006,56.2298508,99.0,371124,618540.0,99.0,99.1225,267.747,196.2057953,64.55139,75.7638245,99.0
1305,Streptococcus sanguinis,"",1,1305,1301,,1300,Bacteria,0,49382,82303.333,100.0,99.7315,649.427,238.5205994,1587761990.1,8.58925,0.0,100.0,46846,78076.666,100.0,99.1882,178.817,159.4843445,8.14815,0.0,100.0
1308,Streptococcus thermophilus,"",1,1308,1301,,1300,Bacteria,0,51890,86483.333,99.0,99.3602,513.955,220.2238007,1586928905.199,9.02548,6.9135361,99.0,45259,75431.666,99.0,99.0699,137.992,143.2306671,7.87212,1.2388624,99.0
1313,Streptococcus pneumoniae,"",1,1313,1301,,1300,Bacteria,0,48979,81631.666,99.0,99.7079,402.841,176.0760498,1560253846.932,8.51915,1.8507375,99.0,46537,77561.666,99.0,98.628,112.252,162.6026001,8.0944,30.5756512,99.0
1309,Streptococcus mutans,"",1,1309,1301,,1300,Bacteria,0,47296,78826.666,100.0,99.8266,2542.62,303.2365112,1548357676.866,8.22642,0.0,100.0,47014,78356.666,99.0,99.7195,409.349,246.3866577,8.17737,0.087438,100.0
1314,Streptococcus pyogenes,"",1,1314,1301,,1300,Bacteria,0,47786,79643.333,100.0,99.9115,467.615,168.0157471,1526827331.6999998,8.31165,0.0,100.0,45201,75335.0,99.0,99.3882,111.457,171.8744049,7.86203,0.2623139,100.0
1334,Streptococcus dysgalactiae,"",1,1334,1301,,1300,Bacteria,0,46104,76840.0,99.0,99.8189,2433.39,293.6362305,1504567838.466,8.01909,0.087438,99.0,46003,76671.666,99.0,99.6593,344.402,245.7671814,8.00152,0.087438,99.0
1336,Streptococcus equi,"",1,1336,1301,,1300,Bacteria,0,41007,68345.0,100.0,98.1935,14560.4,306.2863159,1433710073.466,7.13255,0.0,100.0,46348,77246.666,99.0,99.8414,683.384,288.7104187,8.06153,0.8743796,100.0
1304,Streptococcus salivarius,"",1,1304,1301,,1300,Bacteria,0,43110,71850.0,99.0,98.4285,700.711,240.9680786,1377791903.466,7.49833,2.1275916,99.0,41236,68726.666,99.0,97.8951,170.559,151.7731018,7.17238,5.1034508,99.0
1839799,Streptococcus sp. FDAARGOS_192,"",1,1839799,1301,,1300,Bacteria,0,1463,2438.333,99.0,97.4282,376.433,200.8764191,24558095.132999998,0.25447,1.239053,100.0,40,66.666,100.0,95.3521,123.425,196.4809875,0.00696,0.0,100.0
