tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
209,Helicobacter,"",2,-100,209,,72293,Bacteria,0,20947,20640.521,100.0,99.8467,206.804,118.5219269,399498080.0,2.09473,0.0,100.0,19615,19328.009,100.0,99.0813,65.2124,185.5734863,1.96152,0.0,100.0
210,Helicobacter pylori,"",1,210,209,,72293,Bacteria,0,20947,20640.521,100.0,99.8467,206.804,118.5219269,399498080.0,2.09473,0.0,100.0,19596,19309.287,100.0,99.0812,65.2013,185.6617126,1.95962,0.0,100.0
212,Helicobacter acinonychis,"",1,212,209,,72293,Bacteria,0,0,0,-100,0.0,0.0,0.0,167510.0,,,100.0,17,16.751,100.0,99.1495,82.1765,69.5252914,0.0017,0.0,100.0
217,Helicobacter mustelae,"",1,217,209,,72293,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,100.0,28.0,307.6526489,0.0001,0.0,100.0
138563,Helicobacter cetorum,"",1,138563,209,,72293,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,100.0,33.0,307.6526489,0.0001,0.0,100.0
940557,Granulicella,"",2,-100,940557,,204434,Bacteria,0,41954,41340.164,100.0,99.8671,384.187,156.8085175,397320420.0,4.19545,0.0,100.0,37221,36676.413,100.0,99.1679,105.22,208.7038422,3.72215,0.0,100.0
940615,Granulicella tundricola,"",1,940615,940557,,204434,Bacteria,0,20801,20496.657,100.0,99.8895,665.552,255.6955719,397320420.0,2.08013,0.0,100.0,19521,19235.385,100.0,99.532,166.237,140.1458588,1.95212,0.0,100.0
940614,Granulicella mallensis,"",1,940614,940557,,204434,Bacteria,0,21153,20843.507,100.0,99.8451,107.503,59.5670166,379130510.0,2.11533,0.0,100.0,17323,17069.544,100.0,99.1624,35.9956,287.95578,1.73232,0.0,100.0
2479048,Granulicella sibirica,"",1,2479048,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,2128390.0,,,100.0,216,212.839,100.0,78.9363,164.213,107.9857712,0.0216,0.0,100.0
474950,Granulicella pectinivorans,"",1,474950,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,916390.0,,,100.0,93,91.639,100.0,81.7808,85.0645,129.8822632,0.0093,0.0,100.0
2485170,Granulicella sp. GAS466,"",1,2485170,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,374440.0,,,100.0,38,37.444,100.0,76.5617,65.2105,96.282135,0.0038,0.0,100.0
474952,Granulicella rosea,"",1,474952,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,285750.0,,,100.0,29,28.575,100.0,93.461,64.2414,163.7957764,0.0029,0.0,100.0
1660100,Granulicella sp. SCN 62-9,"",1,1660100,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,100.0,33.0,307.6526489,0.0001,0.0,100.0
265488,Rhodopirellula,"",2,-100,265488,,126,Bacteria,0,19980,19687.669,100.0,97.7991,16740.2,306.0524902,393428210.0,1.99802,0.0,100.0,19985,19692.596,100.0,97.516,1194.22,298.7676086,1.99852,0.0,100.0
265606,Rhodopirellula baltica,"",1,265606,265488,,126,Bacteria,0,19980,19687.669,100.0,97.7991,16740.2,306.0524902,393428210.0,1.99802,0.0,100.0,19947,19655.152,100.0,97.5208,1196.4,299.1985168,1.99472,0.0,100.0
1263866,Rhodopirellula europaea,"",1,1263866,265488,,126,Bacteria,0,0,0,-100,0.0,0.0,0.0,315310.0,,,100.0,32,31.531,100.0,94.231,52.0,28.4921436,0.0032,0.0,100.0
1263869,Rhodopirellula sallentina,"",1,1263869,265488,,126,Bacteria,0,0,0,-100,0.0,0.0,0.0,29560.0,,,100.0,3,2.956,100.0,100.0,32.6667,307.6526489,0.0003,0.0,100.0
595434,Rhodopirellula islandica,"",1,595434,265488,,126,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,100.0,33.0,307.6526489,0.0001,0.0,100.0
1265734,Rhodopirellula maiorica,"",1,1265734,265488,,126,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,97.0,33.0,307.6526489,0.0001,0.0,100.0
1986660,Rhodopirellula sp. TMED283,"",1,1986660,265488,,126,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,97.0,33.0,307.6526489,0.0001,0.0,100.0
1073,Rhodopseudomonas,"",2,-100,1073,,41294,Bacteria,0,20137,19842.372,99.0,98.5707,4667.34,300.3452454,388177572.915,2.01372,4.928575,99.0,20057,19763.543,99.0,99.7757,426.766,269.065094,2.00572,6.6088343,99.0
1076,Rhodopseudomonas palustris,"",1,1076,1073,,41294,Bacteria,0,20137,19842.372,99.0,98.5707,4667.34,300.3452454,388177572.915,2.01372,4.928575,99.0,20057,19763.543,99.0,99.7757,426.766,269.065094,2.00572,2.7133548,99.0
332162,Candidatus Solibacter,"",2,-100,332162,,332161,Bacteria,0,21077,20768.619,100.0,99.8584,105.905,58.9675179,386599610.0,2.10773,0.0,100.0,18157,17891.342,100.0,99.0973,34.3676,295.52948,1.81572,0.0,100.0
332163,Candidatus Solibacter usitatus,"",1,332163,332162,,332161,Bacteria,0,21077,20768.619,100.0,99.8584,105.905,58.9675179,386599610.0,2.10773,0.0,100.0,18157,17891.342,100.0,99.0973,34.3676,295.52948,1.81572,0.0,100.0
768,Anaplasma,"",2,-100,768,,942,Bacteria,0,21096,20787.341,100.0,99.8471,422.01,195.288559,386284290.0,2.10963,0.0,100.0,19502,19216.663,100.0,99.1739,108.646,134.2812347,1.95022,0.0,100.0
769,Anaplasma centrale,"",1,769,768,,942,Bacteria,0,21064,20755.809,100.0,99.8469,422.5,195.499939,386284290.0,2.10643,0.0,100.0,18138,17872.62,100.0,99.2935,112.793,128.2924805,1.81382,0.0,100.0
770,Anaplasma marginale,"",1,770,768,,942,Bacteria,0,32,31.531,100.0,99.9375,100.0,56.1508942,12189000.0,0.0032,0.0,100.0,1205,1187.369,100.0,97.331,52.0116,215.7081299,0.1205,0.0,100.0
142058,Anaplasma ovis,"",1,142058,768,,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,1241560.0,,,100.0,126,124.156,100.0,99.7387,71.1746,184.6972198,0.0126,0.0,100.0
948,Anaplasma phagocytophilum,"",1,948,768,,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,315310.0,,,100.0,32,31.531,100.0,98.5382,40.6562,258.6209106,0.0032,0.0,100.0
2016048,Anaplasma cf. ovis,"",1,2016048,768,,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,9850.0,,,100.0,1,0.985,100.0,100.0,33.0,307.6526489,0.0001,0.0,100.0
767891,Candidatus Puniceispirillum,"",2,-100,767891,,-300,Bacteria,0,21109,20800.151,100.0,99.8729,133.791,74.1702499,385850730.0,2.11093,0.0,100.0,18095,17830.249,100.0,99.4492,43.0764,247.7525635,1.80952,0.0,100.0
767892,Candidatus Puniceispirillum marinum,"",1,767892,767891,,-300,Bacteria,0,21109,20800.151,100.0,99.8729,133.791,74.1702499,385850730.0,2.11093,0.0,100.0,18049,17784.922,100.0,99.4581,43.1028,247.651123,1.80492,0.0,100.0
1986629,Candidatus Puniceispirillum sp. TMED176,"",1,1986629,767891,,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,256190.0,,,100.0,26,25.619,100.0,92.9106,32.6154,272.0944519,0.0026,0.0,100.0
1986635,Candidatus Puniceispirillum sp. TMED245,"",1,1986635,767891,,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,118240.0,,,100.0,12,11.824,100.0,100.0,32.8333,307.6526489,0.0012,0.0,100.0
1986639,Candidatus Puniceispirillum sp. TMED52,"",1,1986639,767891,,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,49260.0,,,100.0,5,4.926,100.0,99.4,32.8,307.6526489,0.0005,0.0,100.0
1986634,Candidatus Puniceispirillum sp. TMED213,"",1,1986634,767891,,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,29560.0,,,100.0,3,2.956,100.0,100.0,33.0,307.6526489,0.0003,0.0,100.0
2349,Haliscomenobacter,"",2,-100,2349,,1937961,Bacteria,0,21064,20755.809,100.0,99.8631,105.36,58.7560425,383219790.0,2.10643,0.0,100.0,17827,17566.17,100.0,99.2794,34.394,295.093689,1.78272,0.0,100.0
2350,Haliscomenobacter hydrossis,"",1,2350,2349,,1937961,Bacteria,0,21064,20755.809,100.0,99.8631,105.36,58.7560425,383219790.0,2.10643,0.0,100.0,17827,17566.17,100.0,99.2794,34.394,295.093689,1.78272,0.0,100.0
146918,Salinibacter,"",2,-100,146918,,563843,Bacteria,0,21078,20769.604,100.0,99.8529,124.554,68.3463058,382116170.0,2.10783,0.0,100.0,17833,17572.082,100.0,99.3186,39.9127,262.7831726,1.78332,0.0,100.0
146919,Salinibacter ruber,"",1,146919,146918,,563843,Bacteria,0,21078,20769.604,100.0,99.8529,124.554,68.3463058,382116170.0,2.10783,0.0,100.0,17701,17442.013,100.0,99.3173,39.9549,262.5551453,1.77012,0.0,100.0
1803181,Salinibacter altiplanensis,"",1,1803181,146918,,563843,Bacteria,0,0,0,-100,0.0,0.0,0.0,1271120.0,,,100.0,129,127.112,100.0,99.5047,34.2791,293.0292358,0.0129,0.0,100.0
1923971,Salinibacter sp. 10B,"",1,1923971,146918,,563843,Bacteria,0,0,0,-100,0.0,0.0,0.0,29560.0,,,100.0,3,2.956,100.0,99.0,33.0,307.6526489,0.0003,0.0,100.0
658061,Candidatus Koribacter,"",2,-100,658061,,204434,Bacteria,0,21123,20813.946,100.0,99.8629,108.183,59.9645157,381968370.0,2.11233,0.0,100.0,17641,17382.891,100.0,99.428,35.2377,289.1046448,1.76412,0.0,100.0
658062,Candidatus Koribacter versatilis,"",1,658062,658061,,204434,Bacteria,0,21123,20813.946,100.0,99.8629,108.183,59.9645157,381968370.0,2.11233,0.0,100.0,17641,17382.891,100.0,99.428,35.2377,289.1046448,1.76412,0.0,100.0
1649482,Pseudopedobacter,"",2,-100,1649482,,84566,Bacteria,0,21016,20708.511,100.0,99.8329,115.406,63.4101143,377800260.0,2.10163,0.0,100.0,17325,17071.515,100.0,99.4855,37.1459,280.4169006,1.73252,0.0,100.0
151895,Pseudopedobacter saltans,"",1,151895,1649482,,84566,Bacteria,0,21016,20708.511,100.0,99.8329,115.406,63.4101143,377800260.0,2.10163,0.0,100.0,17325,17071.515,100.0,99.4855,37.1459,280.4169006,1.73252,0.0,100.0
