tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
209,Helicobacter,"",2,-100,209,,72293,Bacteria,0,24848,49696.0,100.0,99.8603,240.568,136.2233734,969520000.0,5.10275,0.0,100.0,23639,47278.0,100.0,98.5888,74.0327,163.9024506,4.85447,0.0,100.0
210,Helicobacter pylori,"",1,210,209,,72293,Bacteria,0,24847,49694.0,100.0,99.8607,240.574,136.2270813,969520000.0,5.10255,0.0,100.0,23629,47258.0,100.0,98.5885,74.0371,163.9073029,4.85242,0.0,100.0
212,Helicobacter acinonychis,"",1,212,209,,72293,Bacteria,0,1,2.0,100.0,91.0,100.0,43.886055,220000.0,0.00021,0.0,100.0,10,20.0,100.0,99.4,63.5,152.4634247,0.00205,0.0,100.0
1301,Streptococcus,"",2,-100,1301,,1300,Bacteria,0,71499,142998.0,99.0,99.7626,2907.91,248.2967987,943502076.0,14.68294,56.2298508,99.0,70640,141280.0,99.0,99.4355,314.867,246.5219116,14.50653,75.7638245,99.0
1309,Streptococcus mutans,"",1,1309,1301,,1300,Bacteria,0,23953,47906.0,100.0,99.7474,4016.95,306.4367065,943502076.0,4.91896,0.0,100.0,23938,47876.0,99.0,99.8117,454.914,283.320343,4.91587,0.087438,100.0
1313,Streptococcus pneumoniae,"",1,1313,1301,,1300,Bacteria,0,24754,49508.0,99.0,99.8937,269.344,140.4985504,930428532.0,5.08345,1.8507375,99.0,22712,45424.0,99.0,98.9619,78.4339,170.7628479,4.66411,30.5756512,99.0
1311,Streptococcus agalactiae,"",1,1311,1301,,1300,Bacteria,0,22628,45256.0,99.0,99.6382,4636.54,304.3242798,899731800.0,4.64686,0.1748759,99.0,23272,46544.0,99.0,99.8035,409.053,284.2678528,4.77911,1.7523943,99.0
28037,Streptococcus mitis,"",1,28037,1301,,1300,Bacteria,0,1,2.0,-1.889255,89.0,100.0,41.1426659,4545584.5017924,0.00021,8.6837244,76.0244594,302,604.0,76.0244594,98.4624,50.9172,218.3605957,0.06202,10.4776497,76.0244594
2420309,Streptococcus sp. FDAARGOS_521,"",1,2420309,1301,,1300,Bacteria,0,158,316.0,100.0,99.5729,702.0,307.6526489,3128400.0,0.03245,0.0,100.0,0,0,-100,0.0,0.0,0.0,,,100.0
1314,Streptococcus pyogenes,"",1,1314,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,1822986.0,,,99.0,93,186.0,99.0,87.2773,73.914,218.4203491,0.0191,0.2623139,99.0
