tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
286,Pseudomonas,"",2,-100,286,,135621,Bacteria,0,189343,252457.669,99.0,98.3089,672.224,161.3328857,683052193.692,25.73501,73.3486099,99.0,174527,232702.976,99.0,98.958,154.368,198.3932648,23.72126,62.1843796,99.0
317,Pseudomonas syringae,"",1,317,286,,135621,Bacteria,0,29820,39760.053,99.0,98.8235,592.906,194.3194733,683052193.692,4.05306,0.087438,99.0,22449,29932.039,99.0,99.1864,114.892,155.4862213,3.05121,1.9458268,99.0
287,Pseudomonas aeruginosa,"",1,287,286,,135621,Bacteria,0,24715,32953.377,99.0,99.8417,367.728,128.9681091,606904853.148,3.3592,31.7375488,99.0,21727,28969.371,99.0,98.2168,91.8153,221.2832947,2.95308,35.7405891,99.0
380021,Pseudomonas protegens,"",1,380021,286,,135621,Bacteria,0,24846,33128.044,100.0,99.846,184.891,101.2784805,572299952.4,3.377,0.0,100.0,18510,24680.032,100.0,99.2503,60.1237,210.9890137,2.51583,0.0,100.0
303,Pseudomonas putida,"",1,303,286,,135621,Bacteria,0,23404,31205.374,99.0,99.7369,445.548,182.9890594,571595064.876,3.18101,2.8773255,99.0,20336,27114.702,99.0,99.0468,108.568,135.7692413,2.76402,0.1748759,99.0
316,Pseudomonas stutzeri,"",1,316,286,,135621,Bacteria,0,20497,27329.369,99.0,98.989,602.044,201.9049988,561493487.808,2.7859,13.2827663,99.0,22470,29960.039,99.0,99.5667,199.888,166.0313263,3.05406,4.9251304,99.0
300,Pseudomonas mendocina,"",1,300,286,,135621,Bacteria,0,24934,33245.377,100.0,99.7998,124.253,68.1440811,549168503.796,3.38896,0.0,100.0,16838,22450.696,99.0,98.9276,40.7407,255.3291779,2.28858,0.265949,100.0
294,Pseudomonas fluorescens,"",1,294,286,,135621,Bacteria,0,403,537.334,99.0,93.3348,460.005,192.8211212,292684381.506,0.05477,5.852613,99.0,21994,29325.372,99.0,99.4219,464.749,241.7963867,2.98937,3.625514,99.0
29438,Pseudomonas savastanoi,"",1,29438,286,,135621,Bacteria,0,3986,5314.673,100.0,97.717,213.881,86.6611786,271282394.196,0.54177,0.0,100.0,16733,22310.696,99.0,99.4408,143.028,212.1219788,2.27431,2.6794009,100.0
2005388,Pseudomonas sp. RU47,"",1,2005388,286,,135621,Bacteria,0,19948,26597.368,100.0,92.0448,2916.39,294.0066833,265412743.2,2.71128,0.0,100.0,159,212.0,100.0,99.582,239.0,176.8894043,0.02161,0.0,100.0
47877,Pseudomonas amygdali,"",1,47877,286,,135621,Bacteria,0,6051,8068.01,100.0,98.7588,245.649,101.8870392,107738532.0,0.82244,0.0,100.0,2111,2814.67,100.0,97.4585,50.0317,211.4116058,0.28692,0.0,100.0
2578110,Pseudomonas sp. KBS0707,"",1,2578110,286,,135621,Bacteria,0,4643,6190.674,100.0,98.4823,220.803,116.7110977,61287672.6,0.63106,0.0,100.0,0,0,-100,0.0,0.0,0.0,,,100.0
251701,Pseudomonas syringae group genomosp. 3,"",1,251701,286,,135621,Bacteria,0,7,9.333,100.0,96.1429,86.4286,41.717186,27051713.37,0.00095,0.0,100.0,2063,2750.67,99.0,96.2909,87.5967,153.8037567,0.2804,1.5582952,100.0
