tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
1301,Streptococcus,"",2,-100,1301,,1300,Bacteria,0,23933,47866.0,99.0,99.8755,2760.86,298.492981,933716718.0,4.89513,56.2298508,99.0,24077,48154.0,99.0,99.2046,374.149,235.0232086,4.92459,75.7638245,99.0
1309,Streptococcus mutans,"",1,1309,1301,,1300,Bacteria,0,23933,47866.0,100.0,99.8755,2760.86,298.492981,933716718.0,4.89513,0.0,100.0,23459,46918.0,99.0,99.4251,381.094,237.1601105,4.79819,0.087438,100.0
1328,Streptococcus anginosus,"",1,1328,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,5664978.0,,,99.0,289,578.0,99.0,84.118,170.0,97.0,0.05911,2.170361,99.0
1313,Streptococcus pneumoniae,"",1,1313,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,808496.2497744,,,12.6028222,324,648.0,12.6028222,96.6943,58.6451,202.2945709,0.06627,30.5756512,12.6028222
1310,Streptococcus sobrinus,"",1,1310,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,19800.0,,,100.0,1,2.0,100.0,100.0,33.0,307.6526489,0.0002,0.0,100.0
1334,Streptococcus dysgalactiae,"",1,1334,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,2165.4625806,,,10.9366797,1,2.0,10.9366797,97.0,33.0,307.6526489,0.0002,0.087438,10.9366797
1314,Streptococcus pyogenes,"",1,1314,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,655.820847,,,3.3122265,1,2.0,3.3122265,100.0,32.0,307.6526489,0.0002,0.2623139,3.3122265
1307,Streptococcus suis,"",1,1307,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,-19.163766600000002,,,-0.0967867,1,2.0,-0.0967867,100.0,33.0,307.6526489,0.0002,2.2577989,-0.0967867
28037,Streptococcus mitis,"",1,28037,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,-215.0091306,,,-1.0859047,1,2.0,-1.0859047,100.0,33.0,307.6526489,0.0002,10.4776497,-1.0859047
1279,Staphylococcus,"",2,-100,1279,,90964,Bacteria,0,24811,49622.0,99.0,99.9173,197.828,110.8683395,911022552.0,5.07472,36.0487556,99.0,21790,43580.0,99.0,99.2458,60.5559,191.7185669,4.45682,47.8723526,99.0
