tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
940557,Granulicella,"",2,-100,940557,,204434,Bacteria,0,40139,39463.386,100.0,99.8994,643.005,172.8630829,382186950.0,4.01393,0.0,100.0,35971,35365.541,100.0,99.2641,171.467,237.6165161,3.59713,0.0,100.0
940615,Granulicella tundricola,"",1,940615,940557,,204434,Bacteria,0,19745,19412.655,100.0,99.9475,1197.39,290.5806885,382186950.0,1.97452,0.0,100.0,19128,18806.04,100.0,99.7818,286.825,193.4433441,1.91282,0.0,100.0
940614,Granulicella mallensis,"",1,940614,940557,,204434,Bacteria,0,20394,20050.731,100.0,99.8529,106.265,58.8915901,361746880.0,2.03942,0.0,100.0,16400,16123.957,100.0,99.3709,34.7346,291.8583984,1.64001,0.0,100.0
2479048,Granulicella sibirica,"",1,2479048,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,1985990.0,,,100.0,202,198.599,100.0,71.2058,283.5,126.6231689,0.0202,0.0,100.0
474950,Granulicella pectinivorans,"",1,474950,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,1219120.0,,,100.0,124,121.912,100.0,84.341,174.395,133.0655518,0.0124,0.0,100.0
2485170,Granulicella sp. GAS466,"",1,2485170,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,973330.0,,,100.0,99,97.333,100.0,57.3779,326.434,131.5800171,0.0099,0.0,100.0
474952,Granulicella rosea,"",1,474952,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,167130.0,,,100.0,17,16.713,100.0,99.8176,32.4706,307.6526489,0.0017,0.0,100.0
1660100,Granulicella sp. SCN 62-9,"",1,1660100,940557,,204434,Bacteria,0,0,0,-100,0.0,0.0,0.0,9830.0,,,100.0,1,0.983,100.0,100.0,32.0,307.6526489,0.0001,0.0,100.0
209,Helicobacter,"",2,-100,209,,72293,Bacteria,0,20084,19745.949,100.0,99.8558,197.563,111.85289,381606880.0,2.00842,0.0,100.0,18736,18420.638,100.0,99.0699,62.5786,189.7909393,1.87361,0.0,100.0
210,Helicobacter pylori,"",1,210,209,,72293,Bacteria,0,20083,19744.966,100.0,99.8561,197.568,111.8560333,381606880.0,2.00832,0.0,100.0,18731,18415.722,100.0,99.0703,62.5866,189.7594757,1.87311,0.0,100.0
138563,Helicobacter cetorum,"",1,138563,209,,72293,Bacteria,0,1,0.983,100.0,94.9,99.0,48.6989708,29490.0,0.0001,0.0,100.0,2,1.966,100.0,98.5,33.0,307.6526489,0.0002,0.0,100.0
217,Helicobacter mustelae,"",1,217,209,,72293,Bacteria,0,0,0,-100,0.0,0.0,0.0,9830.0,,,100.0,1,0.983,100.0,96.9,32.0,307.6526489,0.0001,0.0,100.0
