tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
836,Porphyromonas,"",2,-100,836,,171551,Bacteria,0,115534,49084.64276,99.0,99.8599,24875.6,305.6070862,964164867.55776,5.77676,0.3497519,99.0,114863,48799.56828,99.0,99.6757,887.968,305.4504395,5.74321,2.7440548,99.0
837,Porphyromonas gingivalis,"",1,837,836,,171551,Bacteria,0,115534,49084.64276,99.0,99.8599,24875.6,305.6070862,964164867.55776,5.77676,0.3497519,100.0,114856,48796.59433,100.0,99.6763,888.02,305.4502869,5.74286,0.0,100.0
111105,Porphyromonas gulae,"",1,111105,836,,171551,Bacteria,0,0,0,-100,0.0,0.0,0.0,8412.03,,,100.0,2,0.8497,100.0,86.6,33.5,307.6526489,0.0001,0.0,100.0
393921,Porphyromonas crevioricanis,"",1,393921,836,,171551,Bacteria,0,0,0,-100,0.0,0.0,0.0,8412.03,,,100.0,2,0.8497,100.0,92.3,29.5,307.6526489,0.0001,0.0,100.0
1515617,Porphyromonas sp. COT-290 OH3588,"",1,1515617,836,,171551,Bacteria,0,0,0,-100,0.0,0.0,0.0,1.8074718560250003,,,0.0143245,3,1.27455,0.0143245,87.9,33.0,307.6526489,0.00015,1.239053,0.0143245
1912216,Cutibacterium,"",2,-100,1912216,,31957,Bacteria,0,116027,49294.09391,99.0,99.9396,38159.6,307.4636536,919351691.62749,5.80141,283.7366028,99.0,104761,44507.73158,99.0,99.7143,898.01,306.5299072,5.23811,227.5849915,99.0
1747,Cutibacterium acnes,"",1,1747,1912216,,31957,Bacteria,0,116027,49294.09391,99.0,99.9396,38159.6,307.4636536,919351691.62749,5.80141,278.5867615,99.0,104761,44507.73158,99.0,99.7143,898.01,306.5299072,5.23811,222.172821,99.0
1678,Bifidobacterium,"",2,-100,1678,,31953,Bacteria,0,108972,46296.77577,99.0,99.9689,35003.2,307.3139343,918222039.6069599,5.44866,1.0637958,99.0,111159,47225.92315,99.0,99.5385,928.197,306.1395874,5.55801,16.7185993,99.0
1680,Bifidobacterium adolescentis,"",1,1680,1678,,31953,Bacteria,0,108970,46295.92606,100.0,99.9696,35003.8,307.3198242,918222039.6069599,5.44856,0.0,100.0,110446,46923.00496,99.0,99.568,931.25,306.1768188,5.52236,1.3115695,100.0
28026,Bifidobacterium pseudocatenulatum,"",1,28026,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,431815.8378141448,,,28.7580433,357,151.67152,28.7580433,94.0005,457.02,307.6526489,0.01785,2.5919628,28.7580433
216816,Bifidobacterium longum,"",1,216816,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,241937.79097689313,,,17.5371438,328,139.35086,17.5371438,98.9355,470.378,305.7799988,0.0164,3.9753823,17.5371438
1263058,Bifidobacterium bifidum CAG:234,"",1,1263058,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,92532.33,,,100.0,22,9.3467,100.0,54.777,314.0,113.3798676,0.0011,0.0,100.0
78346,Bifidobacterium ruminantium,"",1,78346,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,16824.06,,,100.0,4,1.6994,100.0,94.725,38.0,307.6526489,0.0002,0.0,100.0
1681,Bifidobacterium bifidum,"",1,1681,1678,,31953,Bacteria,0,2,0.8497,100.0,64.45,95.5,-12.6144571,8412.03,0.0001,0.0,100.0,0,0,-100,0.0,0.0,0.0,,,100.0
1685,Bifidobacterium breve,"",1,1685,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,4206.015,,,100.0,1,0.42485,100.0,30.37,135.0,6.6716204,0.00005,0.0,100.0
1694,Bifidobacterium pseudolongum,"",1,1694,1678,,31953,Bacteria,0,0,0,-100,0.0,0.0,0.0,-4.232432980215,,,-0.1006281,1,0.42485,-0.1006281,90.3,31.0,307.6526489,0.00005,0.5318979,-0.1006281
482,Neisseria,"",2,-100,482,,481,Bacteria,0,110803,47074.67648,99.0,99.8182,15166.5,300.8999023,903924231.75351,5.54021,12.1925507,99.0,109826,46659.59783,99.0,99.3468,751.123,301.2413025,5.49136,10.7786226,99.0
487,Neisseria meningitidis,"",1,487,482,,481,Bacteria,0,110789,47068.72857,99.0,99.8181,15168.4,300.9267273,903924231.75351,5.53951,6.4229789,99.0,106294,45159.02694,99.0,99.453,755.576,301.1557617,5.31476,3.2989273,99.0
486,Neisseria lactamica,"",1,486,482,,481,Bacteria,0,4,1.6994,4.3588756,100.0,174.0,84.9030914,6421554.756856269,0.0002,0.1748759,99.0,1542,655.11901,99.0,95.9686,465.034,304.6315308,0.0771,1.2959814,99.0
483,Neisseria cinerea,"",1,483,482,,481,Bacteria,0,0,0,-100,0.0,0.0,0.0,4693914.918,,,100.0,1116,474.13282,100.0,98.05,872.0,307.6526489,0.0558,0.0,100.0
