tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
836,Porphyromonas,"",2,-100,836,,171551,Bacteria,0,421201,176352.58131,99.0,99.9683,48367.0,303.8517456,3453016752.8693104,21.06025,0.3497519,99.0,416064,174201.77157,99.0,99.8857,1054.34,300.9425659,20.8034,2.7440548,99.0
837,Porphyromonas gingivalis,"",1,837,836,,171551,Bacteria,0,421201,176352.58131,99.0,99.9683,48367.0,303.8517456,3453016752.8693104,21.06025,0.3497519,100.0,416061,174200.5155,100.0,99.8858,1054.35,300.9425354,20.80325,0.0,100.0
111105,Porphyromonas gulae,"",1,111105,836,,171551,Bacteria,0,0,0,-100,0.0,0.0,0.0,12435.093,,,100.0,3,1.25607,100.0,94.4333,40.3333,307.6526489,0.00015,0.0,100.0
561,Escherichia,"",2,-100,561,,543,Bacteria,0,423950,177503.55969,99.0,99.9838,105508.0,307.0709839,3307538156.38785,21.1977,86.4796448,99.0,384266,160888.27189,99.0,99.7023,1178.63,305.6939087,19.21348,419.0569458,99.0
562,Escherichia coli,"",1,562,561,,543,Bacteria,0,423950,177503.55969,99.0,99.9838,105508.0,307.0709839,3307538156.38785,21.1977,86.4796448,99.0,382063,159965.89816,99.0,99.704,1181.08,305.6850281,19.10333,419.0569458,99.0
564,Escherichia fergusonii,"",1,564,561,,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,9110774.772,,,100.0,2198,920.28028,100.0,99.508,754.672,307.6526489,0.1099,0.0,100.0
2044460,Escherichia sp. E2748,"",1,2044460,561,,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,12435.093,,,100.0,3,1.25607,100.0,33.871,62.0,1.30103,0.00015,0.0,100.0
208962,Escherichia albertii,"",1,208962,561,,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,8290.062,,,100.0,2,0.83738,100.0,97.85,47.0,307.6526489,0.0001,0.0,100.0
1301,Streptococcus,"",2,-100,1301,,1300,Bacteria,0,422118,176736.51989,99.0,99.9798,104119.0,305.2461853,3152920723.28442,21.1061,56.2298508,99.0,420610,176105.13561,99.0,99.5859,1044.18,297.0479431,21.0307,75.7638245,99.0
1309,Streptococcus mutans,"",1,1309,1301,,1300,Bacteria,0,384647,161047.79272,100.0,99.9941,114125.0,307.4655762,3152920723.28442,19.23253,0.0,100.0,379802,159019.24042,99.0,99.7352,1127.83,306.612793,18.99028,0.087438,100.0
1311,Streptococcus agalactiae,"",1,1311,1301,,1300,Bacteria,0,34309,14364.82988,99.0,99.8289,1409.51,281.7189026,288493926.22214997,1.71547,0.1748759,99.0,35994,15070.32227,99.0,99.3071,280.743,219.8482819,1.79972,1.7523943,99.0
1338,Streptococcus intermedius,"",1,1338,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,10726755.90525,,,99.0,2614,1094.45525,99.0,85.5556,121.0,61.7733879,0.1307,1.4708574,99.0
2420308,Streptococcus sp. FDAARGOS_520,"",1,2420308,1301,,1300,Bacteria,0,1340,561.04439,100.0,99.8969,1372.48,292.1114807,5554339.461,0.067,0.0,100.0,0,0,-100,0.0,0.0,0.0,,,100.0
2420309,Streptococcus sp. FDAARGOS_521,"",1,2420309,1301,,1300,Bacteria,0,1293,541.36597,100.0,99.8748,1440.09,292.9773865,5434133.660999999,0.06465,0.0,100.0,18,7.53642,100.0,100.0,122.778,81.2429886,0.0009,0.0,100.0
1314,Streptococcus pyogenes,"",1,1314,1301,,1300,Bacteria,0,7,2.93083,100.0,99.8,150.0,89.9760971,2971281.4936200003,0.00035,0.0,100.0,717,300.20062,99.0,98.2378,293.559,256.5817871,0.03585,0.2623139,100.0
1329,Streptococcus canis,"",1,1329,1301,,1300,Bacteria,0,363,151.98441,100.0,99.8543,1178.67,295.746582,1512935.721,0.01815,0.0,100.0,2,0.83738,100.0,100.0,49.0,307.6526489,0.0001,0.0,100.0
1334,Streptococcus dysgalactiae,"",1,1334,1301,,1300,Bacteria,0,48,20.09711,99.0,99.8138,424.667,173.4554138,1087448.4908099999,0.0024,0.087438,99.0,217,90.8557,99.0,98.3101,191.558,223.2660065,0.01085,0.087438,99.0
2420310,Streptococcus sp. FDAARGOS_522,"",1,2420310,1301,,1300,Bacteria,0,105,43.96243,100.0,99.9007,2079.2,302.1449585,480823.398,0.00525,0.0,100.0,11,4.60559,100.0,100.0,118.0,75.5058441,0.00055,0.0,100.0
1307,Streptococcus suis,"",1,1307,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,458560.303158573,,,41.2794625,268,112.20888,41.2794625,98.0148,177.854,141.3177643,0.0134,2.2577989,41.2794625
1349,Streptococcus uberis,"",1,1349,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,426937.995,,,100.0,103,43.12505,100.0,92.7956,195.476,129.6513062,0.00515,0.0,100.0
936587,Streptococcus sp. OBRC6,"",1,936587,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,99480.744,,,100.0,24,10.04856,100.0,71.9772,92.4167,42.4154587,0.0012,0.0,100.0
1739472,Streptococcus sp. HMSC065G04,"",1,1739472,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,95335.713,,,100.0,23,9.62987,100.0,99.618,262.0,307.6526489,0.00115,0.0,100.0
150055,Streptococcus lutetiensis,"",1,150055,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,82900.62,,,100.0,20,8.3738,100.0,77.7589,37.4,11.6563616,0.001,0.0,100.0
315405,Streptococcus gallolyticus,"",1,315405,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,82900.62,,,100.0,20,8.3738,100.0,90.6927,116.5,84.2729797,0.001,0.0,100.0
