sample	classifier	database	taxid	name	cum_abundance	cls_cum_abundance	unique_abundance	cls_unique_abundance	classrank	rank
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	940615	Granulicella tundricola	0.019947224966712532				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	940614	Granulicella mallensis	0.02060287191547913				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	210	Helicobacter pylori	0.02028868670582364				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	138563	Helicobacter cetorum	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	96345	Flavobacterium psychrophilum	0.019517872188244422				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	986	Flavobacterium johnsoniae	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2175091	Flavobacterium album	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	395922	Coraliomargarita akajimensis	0.020738244320925543				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	332163	Candidatus Solibacter usitatus	0.020427089836765125				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	146919	Salinibacter ruber	0.020733193111767096				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1076	Rhodopseudomonas palustris	0.01936936663898604				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2350	Haliscomenobacter hydrossis	0.020511950150627057				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	767892	Candidatus Puniceispirillum marinum	0.020377587987012332				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	392734	Terriglobus roseus	0.020450325398893986				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	870903	Terriglobus saanensis	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	511746	Methylacidiphilum infernorum	0.0203220246862694				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1776078	Methylacidiphilum sp. RTK17.1	0.00017174111138724388				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	107709	Opitutus terrae	0.020543267647409436				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	296825	uncultured Opitutus sp.	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	658062	Candidatus Koribacter versatilis	0.020427089836765125				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	151895	Pseudopedobacter saltans	0.020490735072161575				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	651143	Fibrella aestuarina	0.02061802554295447				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	104	Cyclobacterium marinum	0.020599841189984057				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1966343	Cyclobacterium sp.	2.0204836633793396e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	769	Anaplasma centrale	0.02013209922191174				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	770	Anaplasma marginale	3.1317496782379765e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	142058	Anaplasma ovis	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	948	Anaplasma phagocytophilum	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	28447	Clavibacter michiganensis	0.02000985996027729				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	304895	Catenulispora acidiphila	0.02026545114369478				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	984	Pedobacter heparinus	0.020497806764983403				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2201271	Pedobacter sp. eg	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1727164	Pedobacter sp. PACM 27299	1.0102418316896698e-06				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	991904	Polymorphum gilvum	0.020431130804091882				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1772	Mycolicibacterium smegmatis	0.020459417575379193				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1792	Mycolicibacterium chitae	5.8594026238000855e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	303	Pseudomonas putida	0.019353202769679004				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	287	Pseudomonas aeruginosa	0.017888352113728984				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	294	Pseudomonas fluorescens	0.0011890546358987414				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2005388	Pseudomonas sp. RU47	0.011394517619627786				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1785145	Pseudomonas sp. MS586	0.0018325786826850611				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	317	Pseudomonas syringae	6.667596089151822e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2073078	Pseudomonas sp. DTU12.3	0.0012809866425825013				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	200450	Pseudomonas trivialis	0.0011789522175818447				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	658629	Pseudomonas sp. CMR12a	0.0007556608901038731				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1659194	Pseudomonas sp. GR 6-02	0.0004465268896068341				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	198620	Pseudomonas koreensis	0.000422281085646282				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	300	Pseudomonas mendocina	0.0003364105299526601				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	658642	Pseudomonas sp. R4-34-07	0.0003050930331702803				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	301	Pseudomonas oleovorans	0.00029903158218014226				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	143813	Pseudomonas sp. LAB-08	0.00014850554925838148				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1338689	Pseudomonas sp. JY-Q	9.597297401051864e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	75612	Pseudomonas mandelii	0.00011011635965417401				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	321662	Pseudomonas moraviensis	0.00010910611782248435				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	312306	Pseudomonas entomophila	0.00010304466683234632				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2083052	Pseudomonas sp. SWI36	2.6266287623931415e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2559074	Pseudomonas sp. S150	9.799345767389797e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1028989	Pseudomonas sp. StFLB209	7.879886287179425e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	118613	Pseudomonas sp. B10	1.1112660148586369e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	163011	Pseudomonas lini	4.9501849752793825e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1628086	Pseudomonas kribbensis	4.9501849752793825e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1855380	Pseudomonas sp. Z003-0.4C(8344-21)	4.9501849752793825e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1978467	Pseudomonas sp. AK6U	3.9399431435897126e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	2069256	Pseudomonas sp. XWY-1	1.919459480210373e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	1274359	Pseudomonas sihuiensis	2.4245803960552078e-05				species	species
UnAmbiguouslyMapped_ds.soil	idseq_nt	default	587753	Pseudomonas chlororaphis	1.3133143811965708e-05				species	species
