tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
1301,Streptococcus,"",2,-100,1301,,1300,Bacteria,0,1933280,22109.30587,99.0,99.1849,75065.3,301.2479858,409829533.31529,97.48319,56.2298508,99.0,1825027,20871.30688,99.0,98.9326,1089.06,292.5095825,92.02467,75.7638245,99.0
1313,Streptococcus pneumoniae,"",1,1313,1301,,1300,Bacteria,0,1927505,22043.26203,99.0,99.184,75289.8,301.9259033,409829533.31529,97.19199,1.8507375,99.0,1728885,19771.81126,99.0,99.6866,1143.83,305.2360535,87.17683,30.5756512,99.0
1338,Streptococcus intermedius,"",1,1338,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,8371803.2824800005,,,99.0,74691,854.17848,99.0,84.8779,118.955,61.34692,3.7662,1.4708574,99.0
1311,Streptococcus agalactiae,"",1,1311,1301,,1300,Bacteria,0,123,1.40665,3.5218459,99.1959,127.626,73.6422806,969728.405177792,0.0062,0.1748759,58.4036727,14658,167.63128,58.4036727,87.7189,60.023,31.9371262,0.73911,1.7523943,58.4036727
1314,Streptococcus pyogenes,"",1,1314,1301,,1300,Bacteria,0,183,2.09282,100.0,98.9989,110.781,60.9103203,604686.11841,0.00923,0.0,100.0,5210,59.58241,99.0,84.0124,37.1132,123.2820435,0.26271,0.2623139,100.0
1334,Streptococcus dysgalactiae,"",1,1334,1301,,1300,Bacteria,0,636,7.2734,41.0917725,99.8292,146.884,87.9021835,29588.320696829,0.03207,0.087438,41.0917725,1,0.01144,-0.4346041,90.9,33.0,307.6526489,0.00005,0.087438,41.0917725
1303,Streptococcus oralis,"",1,1303,1301,,1300,Bacteria,0,3238,37.0303,2.9497487,99.8237,154.57,73.2587814,10708.292978098647,0.16327,5.9530516,2.9497487,218,2.49308,-0.4273845,91.4872,35.8807,307.6526489,0.01099,4.3516273,2.9497487
1305,Streptococcus sanguinis,"",1,1305,1301,,1300,Bacteria,0,7,0.08005,100.0,82.7714,135.571,45.4269371,3396.4919999999997,0.00035,0.0,100.0,23,0.26303,100.0,88.7216,33.087,280.8656616,0.00116,0.0,100.0
28037,Streptococcus mitis,"",1,28037,1301,,1300,Bacteria,0,1402,16.0335,2.0775246,99.1652,163.523,77.5593414,2958.4728136477797,0.07069,8.6837244,2.0775246,531,6.0726,-0.5642438,92.1883,37.4256,279.7174072,0.02678,10.4776497,2.0775246
113107,Streptococcus australis,"",1,113107,1301,,1300,Bacteria,0,10,0.11436,100.0,95.13,150.0,80.3542633,1811.502,0.0005,0.0,100.0,6,0.06862,100.0,93.6167,36.5,307.6526489,0.0003,0.0,100.0
712622,Streptococcus sp. oral taxon 058,"",1,712622,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,1245.4199999999998,,,100.0,11,0.1258,100.0,91.7727,37.0,307.6526489,0.00055,0.0,100.0
1307,Streptococcus suis,"",1,1307,1301,,1300,Bacteria,0,10,0.11436,100.0,99.54,113.8,64.9735489,1094.085147871881,0.0005,0.0,100.0,55,0.62899,-0.6115119,93.5545,33.3636,307.6526489,0.00277,2.2577989,100.0
2250596,Streptococcus sp. 596553,"",1,2250596,1301,,1300,Bacteria,0,0,0,-100,0.0,0.0,0.0,905.751,,,100.0,8,0.09149,100.0,75.4812,41.875,230.5251617,0.0004,0.0,100.0
45634,Streptococcus cristatus,"",1,45634,1301,,1300,Bacteria,0,3,0.03431,-0.4867635,97.9333,75.0,37.3796883,904.097615287185,0.00015,1.2959814,100.0,8,0.09149,100.0,89.0875,39.25,307.6526489,0.0004,0.0,100.0
1336,Streptococcus equi,"",1,1336,1301,,1300,Bacteria,0,8,0.09149,100.0,98.9125,123.75,70.2570114,895.317473847456,0.0004,0.0,100.0,31,0.35452,-0.2972728,89.7065,32.7419,307.6526489,0.00156,0.8743796,100.0
1302,Streptococcus gordonii,"",1,1302,1301,,1300,Bacteria,0,4,0.04574,100.0,99.15,54.5,24.5955563,792.495,0.0002,0.0,100.0,3,0.03431,100.0,93.6,35.3333,307.6526489,0.00015,0.0,100.0
