sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
HRC_025,Katrina Kalantar,2019-09-11 09:52:09 -0700,COMPLETE,7097.0,10000,8466,84.66,0,1.0,84.78,1.0,10000,10000,8478,8466,sim,DNA,"California, USA",Human,""
HRC_030,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7222.0,10000,8478,84.78,0,1.0,84.9,1.0,10000,10000,8490,8478,sim,DNA,"California, USA",Human,""
HRC_035,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7194.0,10000,8466,84.66,0,1.0,84.78,1.0,10000,10000,8478,8466,sim,DNA,"California, USA",Human,""
HRC_040,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7060.0,10000,8466,84.66,0,1.0,84.78,1.0,10000,10000,8478,8466,sim,DNA,"California, USA",Human,""
HRC_045,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7203.0,10000,8458,84.58,0,1.0,84.68,1.0,10000,10000,8468,8458,sim,DNA,"California, USA",Human,""
HRC_050,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7065.0,10000,8430,84.3,0,1.0,84.38,1.0,10000,10000,8438,8430,sim,DNA,"California, USA",Human,""
HRC_055,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7237.0,10000,8450,84.5,0,1.0,84.62,1.0,10000,10000,8462,8450,sim,DNA,"California, USA",Human,""
HRC_060,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7632.0,10000,8496,84.96,0,1.0,85.04,1.0,10000,10000,8504,8496,sim,DNA,"California, USA",Human,""
HRC_065,Katrina Kalantar,2019-09-11 09:52:10 -0700,COMPLETE,7022.0,10000,8492,84.92,0,1.0,85.02,1.0,10000,10000,8502,8492,sim,DNA,"California, USA",Human,""
HRC_070,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7481.0,10000,8504,85.04,0,1.0,85.14,1.0,10000,10000,8514,8504,sim,DNA,"California, USA",Human,""
HRC_075,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7055.0,10000,8558,85.58,0,1.0,85.66,1.0,10000,10000,8566,8558,sim,DNA,"California, USA",Human,""
HRC_080,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7227.0,10000,8544,85.44,0,1.0,85.5,1.0,10000,10000,8550,8544,sim,DNA,"California, USA",Human,""
HRC_085,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7242.0,10000,8422,84.22,0,1.0,84.32,1.0,10000,10000,8432,8422,sim,DNA,"California, USA",Human,""
HRC_090,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,6865.0,10000,8480,84.8,0,1.0,84.96,1.0,10000,10000,8496,8482,sim,DNA,"California, USA",Human,""
HRC_095,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7690.0,10000,8514,85.14,0,1.0,85.18,1.0,10000,10000,8518,8514,sim,DNA,"California, USA",Human,""
HRC_099,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,7065.0,10000,8562,85.62,0,1.0,85.78,1.0,10000,10000,8578,8562,sim,DNA,"California, USA",Human,""
HRC_100,Katrina Kalantar,2019-09-11 09:52:11 -0700,COMPLETE,6838.0,10000,8582,85.82,0,1.0,85.86,1.0,10000,10000,8586,8582,sim,DNA,"California, USA",Human,""
norg_17__nacc_17__uniform_weight_per_organism__hiseq_reads__v10_,Katrina Kalantar,2019-09-11 09:52:09 -0700,COMPLETE,7197.0,170000,143804,84.591,0,1.0,85.022,1.01,170000,170000,144538,143806,sim,DNA,"California, USA",Human,""
