sample,bracken,centrifuge,clark,clark_s,diamond,gottcha,idseq_nr,idseq_nt,idseq_ntnr_conc,idseq_ntnr_conc_stringent,kaiju,karp,kraken,kraken2,krakenhll,kslam,megablast,metaothello,metaphlan2,mmseqs2,motus2,pathseq,prophyle,taxmaps
UnAmbiguouslyMapped_ds.7,0.8894736842105264,0.1767348976535197,0.5079681274900398,0.5079681274900398,0.22405557967867998,0.9257884972170686,0.13480199318122213,0.6043761088113542,0.7010309278350515,0.9104072398190046,0.10919055649241147,0.4150485436893203,0.7311522048364153,0.441680960548885,0.5777525539160046,0.8559533721898419,0.6719160104986877,0.7802690582959642,0.8418891170431211,0.09324469996406755,0.8537378114842904,0.14689742507387085,0.7044776119402985,0.6125150421179303
UnAmbiguouslyMapped_ds.buccal,0.2298850574712644,0.014347202295552367,0.0975609756097561,0.11695906432748539,0.13559322033898305,0.42553191489361697,0.10572687224669602,0.2181818181818182,0.3870967741935484,0.45283018867924524,0.06185567010309278,0.16,0.14285714285714285,0.08764940239043825,0.091324200913242,0.22727272727272727,0.07092198581560283,0.11049723756906078,0.8,0.03715170278637771,0.6666666666666666,0.014751075599262446,0.1388888888888889,0.10582010582010581
UnAmbiguouslyMapped_ds.cityparks,0.4210526315789474,0.026101141924959215,0.22588235294117645,0.2274881516587678,0.09876543209876544,0.7933884297520661,0.030466518565534752,0.20600858369098715,0.39669421487603307,0.761904761904762,0.031423895253682485,0.4313725490196078,0.29179331306990886,0.14678899082568805,0.24615384615384614,0.4324324324324324,0.25065274151436034,0.3609022556390978,0.8539325842696629,0.02640990371389271,0.7901234567901234,0.0380499405469679,0.36153846153846153,0.2919254658385093
UnAmbiguouslyMapped_ds.gut,0.5428571428571428,0.0070546737213403885,0.09669211195928754,0.10242587601078167,0.12232415902140673,0.5846153846153845,0.06568144499178982,0.11661807580174927,0.3389830508474576,0.5797101449275363,0.046457607433217196,0.37837837837837834,0.15510204081632653,0.06462585034013604,0.09223300970873786,0.17840375586854462,0.08421052631578947,0.12063492063492061,0.7222222222222223,0.03460207612456747,0.5714285714285715,0.018001800180018006,0.13818181818181818,0.13768115942028986
UnAmbiguouslyMapped_ds.hous1,0.45312500000000006,0.016933207902163686,0.1181434599156118,0.1048689138576779,0.11583011583011583,0.8450704225352113,0.03719776813391197,0.20408163265306123,0.36144578313253006,0.7058823529411764,0.03424657534246575,0.3333333333333333,0.3101604278074866,0.16574585635359115,0.11222444889779559,0.4833333333333334,0.20209059233449478,0.3409090909090909,0.8518518518518519,0.032119914346895075,0.6363636363636364,0.06479481641468683,0.42962962962962964,0.12844036697247707
UnAmbiguouslyMapped_ds.hous2,0.4,0.014403292181069961,0.16666666666666669,0.21276595744680848,0.15748031496062995,0.8,0.07476635514018691,0.1932367149758454,0.33333333333333337,0.5970149253731344,0.04540295119182747,0.5,0.26143790849673204,0.12121212121212122,0.1724137931034483,0.3252032520325203,0.145985401459854,0.21978021978021975,0.7428571428571429,0.039564787339268055,0.7096774193548387,0.03696857670979667,0.23391812865497078,0.21739130434782605
UnAmbiguouslyMapped_ds.nycsm,0.48101265822784806,0.00983284169124877,0.26027397260273977,0.22471910112359553,0.09900990099009901,0.6779661016949152,0.03666361136571952,0.18009478672985782,0.27142857142857135,0.4615384615384615,0.041841004184100423,0.25,0.36538461538461536,0.2248520710059172,0.27941176470588236,0.4081632653061224,0.2585034013605442,0.2597402597402597,0.8108108108108107,0.029239766081871347,0.5185185185185185,0.02065049044914817,0.31496062992125984,0.28368794326241137
UnAmbiguouslyMapped_ds.soil,0.32467532467532473,0.025263157894736838,0.1346153846153846,0.12327044025157234,0.07012622720897617,0.684931506849315,0.02935995302407516,0.15723270440251574,0.353356890459364,0.7246376811594203,0.022706630336058124,0.4032258064516129,0.2222222222222222,0.09900990099009901,0.13783403656821377,0.34722222222222227,0.15723270440251574,0.28328611898017,0.9072164948453608,0.019293845263360986,0.813953488372093,0.030931023816888337,0.30120481927710846,0.16387959866220736
atcc_even,0.4367816091954023,0.006574621959237343,0.03505535055350553,0.08137044967880087,0.028901734104046246,0.3917525773195876,0.06546644844517184,0.24096385542168672,0.43010752688172044,0.6666666666666666,0.014662756598240467,0.23943661971830985,0.15510204081632653,0.13523131672597866,0.047619047619047616,0.12297734627831715,0.05284015852047556,0.06749555950266431,0.9268292682926829,0.00694806322737537,0.8571428571428571,0.010238034297414895,0.09476309226932668,0.11176470588235295
atcc_staggered,0.7599999999999999,0.007293946024799416,0.05909797822706065,0.22222222222222224,0.04008016032064129,0.6551724137931034,0.06568144499178982,0.30303030303030304,0.45977011494252873,0.8333333333333333,0.018885741265344664,0.1694915254237288,0.22093023255813954,0.20105820105820107,0.12751677852348994,0.38383838383838387,0.37037037037037035,0.19999999999999998,0.8292682926829269,0.008410428931875526,0.8571428571428571,0.012453300124532999,0.2945736434108527,0.319327731092437
