sample,bracken,centrifuge,clark,clark_s,diamond,idseq_nr,idseq_nt,idseq_ntnr_conc,idseq_ntnr_conc_stringent,kaiju,kraken,kraken2,krakenhll,kslam,megablast,metaothello,metaphlan2,mmseqs2,motus2,pathseq,prophyle,taxmaps
UnAmbiguouslyMapped_ds.7,0.06594867324581144,0.24785778049996152,0.07283246343638076,0.07570223643643158,0.16393722469094252,0.09114527049387466,0.11839093055057381,0.11709747437572825,0.11730714817076593,0.13288111417380502,0.07286276367359844,0.09005023337527068,0.07237124812175821,0.07786641630718708,0.13738744029065633,0.0657967224284741,0.42265553433943764,0.11138313593801112,0.32571062148633023,0.1560581618481234,0.13371747163909845,0.06454429842409885
UnAmbiguouslyMapped_ds.buccal,0.14083206247955193,0.30708765295794643,0.13747440237420785,0.13495024916993179,0.24218933942108783,0.036191357243345997,0.03620631833724967,0.035594484598727494,0.035587467557884216,0.14363920383288623,0.14079866640943522,0.10607655649375443,0.13640630243477891,0.1458200836379189,0.14022822189343334,0.13713492628546195,0.29127965888203483,0.1379981305092357,0.38277033642880876,0.16283247790997188,0.15735326944508765,0.1342215499301926
UnAmbiguouslyMapped_ds.cityparks,0.07617444031786742,0.2622623146549097,0.0789023066618751,0.06338458621597994,0.23049230594131467,0.03209048564618544,0.051713666588695625,0.05179765928722197,0.051040569313939334,0.13289014198509616,0.0812181101488975,0.07691085914193557,0.07806128200459404,0.07807502041729256,0.1076961049466111,0.07268205244367841,0.19422991740518072,0.08824610234946118,0.25053185543745765,0.14696717468798318,0.14286428331415937,0.05623115399321235
UnAmbiguouslyMapped_ds.gut,0.05117499619319163,0.25381803119860163,0.063260810725907,0.05543558206149196,0.1813365784221308,0.03499770983830376,0.03310043852209697,0.03303725048243859,0.03304834672145767,0.16508160663544277,0.06617015349946077,0.0689470280242758,0.06305448939570828,0.05115492122328445,0.1326742390063654,0.05478049582731605,0.10163375227367238,0.12243911140157379,0.14209137319441908,0.15214080379734155,0.13921770629585342,0.06659420924877212
UnAmbiguouslyMapped_ds.hous1,0.036854929504715035,0.10561182848125042,0.039699821652956234,0.039699821652956234,0.04676311806312814,0.042682480205466444,0.04685872154951401,0.04684926909468555,0.04682448406810356,0.03136050803958094,0.03756998590417145,0.03673872891127594,0.0410424819938075,0.04072924899560071,0.039976853621666884,0.03009620473662163,0.08194022266510143,0.03670263540951902,0.11588664496832567,0.0423869913461007,0.04548889531524889,0.0351967807699715
UnAmbiguouslyMapped_ds.hous2,0.0015076719884608925,0.49130377310393075,0.1084555751870218,0.007398724061625334,0.23693046757950514,0.0730297567169854,0.07093259541717212,0.07104786430928339,0.0711650140028867,0.282358642095518,0.12082322744135335,0.13344924671299038,0.10730153337534862,0.002143211635275922,0.21243741631445898,0.06542033342682825,0.14031129689704566,0.24167443076239617,0.23955814199580872,0.25602468795854694,0.22308658564730863,0.13098429956896057
UnAmbiguouslyMapped_ds.nycsm,0.028515181945171407,0.17378711934815047,0.03155997126614567,0.031160751663245806,0.10814558915340974,0.0332495068875121,0.04888649137189147,0.0452562901329055,0.0452700895248609,0.05641374039674565,0.0325881483007183,0.039568205739859946,0.031183516758853322,0.030993201575044142,0.05149820261573016,0.02768066725225976,0.1931216666898056,0.047345637785437725,0.157732674941188,0.06883262813032844,0.05500176909225034,0.028715252444105725
UnAmbiguouslyMapped_ds.soil,0.05670185100722376,0.2788198656642517,0.06423220816495737,0.055697729875792946,0.14797187988763708,0.027288487048583845,0.051822805322548036,0.05179565156579531,0.051742430738243896,0.1117607147135187,0.06347510542937469,0.06326715656872876,0.06386151523719907,0.07882291539217348,0.11161844343669058,0.07073328450963523,0.24043391375898795,0.0901973831729914,0.317124867864666,0.1514047986079625,0.16932664063395034,0.05897467099425632
atcc_even,0.029278227993406205,0.1667308287338833,0.03849751060444856,0.037832063145472515,0.09951347062934342,0.03349689744158376,0.047345754989860475,0.044674452842096445,0.04483158776427359,0.0551995512285901,0.03304201512273339,0.03962139879290655,0.038298450057870824,0.0331573849684397,0.04985516233043935,0.030791451613654864,0.1685951782638297,0.04727498746283039,0.14848020094020895,0.06735627967034356,0.05241397322989711,0.03314209102015686
atcc_staggered,0.06971880331366836,0.2325053316799029,0.08848923220850372,0.08597745705604658,0.15715883830604035,0.05351980946159561,0.07456076781051872,0.07465565174557674,0.0747573367242813,0.10932752308870239,0.07191614295776504,0.07114925100618472,0.08811007734934405,0.07404458162944394,0.0884124855356938,0.0536779669326649,0.163770058999419,0.07902158087606771,0.28140141137153074,0.10943032489355824,0.0962728439639804,0.0587479641987682
