sample,bracken,centrifuge,clark,clark_s,diamond,gottcha,idseq_nr,idseq_nt,idseq_ntnr_conc,idseq_ntnr_conc_stringent,kaiju,karp,kraken,kraken2,krakenhll,kslam,megablast,metaothello,metaphlan2,mmseqs2,motus2,pathseq,prophyle,taxmaps
UnAmbiguouslyMapped_ds.7,0.8217179902755267,0.1195945945945946,0.3434343434343434,0.3434343434343434,0.12637766348273327,0.8990990990990991,0.07236378994790933,0.4375,0.5472103004291845,0.8642611683848798,0.05778025655326269,0.5681063122923588,0.5821064552661381,0.2846876727473742,0.41081517352703795,0.7581120943952803,0.5114885114885115,0.6404907975460122,0.9090909090909091,0.04892072768404185,0.985,0.07928311057108141,0.5777233782129743,0.44688323090430204
UnAmbiguouslyMapped_ds.buccal,0.13333333333333333,0.0072992700729927005,0.05181347150259067,0.06289308176100629,0.07272727272727272,0.2857142857142857,0.05581395348837209,0.12244897959183673,0.24,0.2926829268292683,0.031914893617021274,0.15384615384615385,0.078125,0.04602510460251046,0.04830917874396135,0.13157894736842105,0.037037037037037035,0.05917159763313609,0.7692307692307693,0.01892744479495268,1.0,0.007430340557275541,0.07575757575757576,0.05649717514124294
UnAmbiguouslyMapped_ds.cityparks,0.26666666666666666,0.013582342954159592,0.1273209549071618,0.12834224598930483,0.05194805194805195,0.6575342465753424,0.015468901063486949,0.11483253588516747,0.24742268041237114,0.6153846153846154,0.015962753574991686,0.4074074074074074,0.1708185053380783,0.07920792079207921,0.14035087719298245,0.27586206896551724,0.14328358208955225,0.22018348623853212,0.926829268292683,0.013381655979927517,0.9696969696969697,0.019393939393939394,0.22169811320754718,0.17153284671532848
UnAmbiguouslyMapped_ds.gut,0.38,0.003590664272890485,0.05093833780160858,0.05413105413105413,0.06514657980456026,0.4222222222222222,0.03395585738539898,0.06191950464396285,0.20408163265306123,0.40816326530612246,0.023781212841854936,0.4117647058823529,0.08444444444444445,0.03345070422535211,0.04846938775510204,0.09844559585492228,0.04395604395604396,0.06440677966101695,0.8125,0.017605633802816902,1.0,0.009082652134423252,0.07450980392156863,0.07421875
UnAmbiguouslyMapped_ds.hous1,0.29591836734693877,0.008712487899322363,0.06306306306306306,0.05555555555555555,0.06147540983606557,0.7317073170731707,0.018951358180669616,0.11363636363636363,0.22058823529411764,0.5454545454545454,0.017421602787456445,0.3333333333333333,0.18471337579617833,0.09036144578313253,0.05970149253731343,0.32222222222222224,0.11284046692607004,0.2054794520547945,0.9583333333333334,0.01632208922742111,1.0,0.033482142857142856,0.2761904761904762,0.06896551724137931
UnAmbiguouslyMapped_ds.hous2,0.25,0.007352941176470588,0.09090909090909091,0.11904761904761904,0.08547008547008547,0.6666666666666666,0.038834951456310676,0.10695187165775401,0.2,0.425531914893617,0.023228803716608595,0.5625,0.15037593984962405,0.06451612903225806,0.09433962264150944,0.1941747572815534,0.07874015748031496,0.12345679012345678,0.8666666666666667,0.020181634712411706,1.0,0.018832391713747645,0.13245033112582782,0.12195121951219512
UnAmbiguouslyMapped_ds.nycsm,0.3220338983050847,0.0050150451354062184,0.15079365079365079,0.12658227848101267,0.052083333333333336,0.5128205128205128,0.018674136321195144,0.09947643979057591,0.15833333333333333,0.3103448275862069,0.021367521367521368,0.25,0.2261904761904762,0.12751677852348994,0.16379310344827586,0.2564102564102564,0.14960629921259844,0.14925373134328357,0.8823529411764706,0.01483679525222552,1.0,0.010432968179447054,0.18691588785046728,0.1652892561983471
UnAmbiguouslyMapped_ds.soil,0.1937984496124031,0.01309090909090909,0.07227138643067847,0.06577181208053691,0.036337209302325583,0.5208333333333334,0.014898688915375448,0.08532423208191127,0.2145922746781116,0.5681818181818182,0.011483693155718878,0.33783783783783783,0.125,0.052083333333333336,0.07413010590015129,0.21008403361344538,0.08532423208191127,0.16501650165016502,0.9361702127659575,0.00974089226573154,0.9722222222222222,0.015708451146716932,0.1773049645390071,0.08941605839416059
atcc_even,0.2835820895522388,0.0033311125916055963,0.017857142857142856,0.042505592841163314,0.01466275659824047,0.24675324675324675,0.0338409475465313,0.136986301369863,0.273972602739726,0.5,0.007385524372230428,0.13934426229508196,0.08444444444444445,0.07279693486590039,0.02442159383033419,0.0657439446366782,0.027137042062415198,0.034990791896869246,0.9047619047619048,0.003486142583231654,1.0,0.005145356315924878,0.049868766404199474,0.059375
atcc_staggered,0.6333333333333333,0.003700962250185048,0.030497592295345103,0.12582781456953643,0.02044989775051125,0.5,0.03395585738539898,0.17857142857142858,0.29850746268656714,0.7142857142857143,0.009532888465204958,0.10204081632653061,0.125,0.11242603550295859,0.0683453237410072,0.24050632911392406,0.22727272727272727,0.11176470588235295,0.8095238095238095,0.004222972972972973,1.0,0.006265664160401002,0.1743119266055046,0.1919191919191919
