sample,bracken,centrifuge,clark,clark_s,diamond,gottcha,idseq_nr,idseq_nt,idseq_ntnr_conc,idseq_ntnr_conc_stringent,kaiju,karp,kraken,kraken2,krakenhll,kslam,megablast,metaothello,metaphlan2,mmseqs2,motus2,pathseq,prophyle,taxmaps
UnAmbiguouslyMapped_ds.7,0.9694072657743786,0.3384321223709369,0.9751434034416826,0.9751434034416826,0.9866156787762906,0.9541108986615678,0.982791586998088,0.9770554493307839,0.9751434034416826,0.9617590822179732,0.9904397705544933,0.32695984703632885,0.982791586998088,0.9847036328871893,0.9732313575525813,0.982791586998088,0.9789674952198852,0.9980879541108987,0.7839388145315488,0.9923518164435946,0.7533460803059273,0.9980879541108987,0.9024856596558317,0.9732313575525813
UnAmbiguouslyMapped_ds.buccal,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334
UnAmbiguouslyMapped_ds.cityparks,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,1.0,0.6666666666666666,1.0,0.9791666666666666,0.9791666666666666
UnAmbiguouslyMapped_ds.gut,0.95,0.2,0.95,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.35,0.95,0.95,0.95,0.95,1.0,0.95,0.65,1.0,0.4,1.0,0.95,0.95
UnAmbiguouslyMapped_ds.hous1,0.9666666666666667,0.3,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,1.0,0.7666666666666667,1.0,0.4666666666666667,1.0,0.9666666666666667,0.9333333333333333
UnAmbiguouslyMapped_ds.hous2,1.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.65,1.0,0.55,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.nycsm,0.95,0.25,0.95,1.0,1.0,1.0,1.0,0.95,0.95,0.9,1.0,0.25,0.95,0.95,0.95,1.0,0.95,1.0,0.75,1.0,0.35,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.soil,1.0,0.36,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.98,1.0,1.0,1.0,0.88,1.0,0.7,1.0,1.0,0.98
atcc_even,0.95,0.25,0.95,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.85,0.95,0.95,0.95,0.95,1.0,0.95,0.95,1.0,0.75,1.0,0.95,0.95
atcc_staggered,0.95,0.25,0.95,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.5,0.95,0.95,0.95,0.95,1.0,0.95,0.85,1.0,0.75,1.0,0.95,0.95
